,46730,,,,,,Reviews,
,,,,,,,,
,,Reviews by languages,,,,,Positive reviews summary,Negative reviews summary
,,,Total,Positive,Negative,Ratio,"The game is relaxing and enjoyable, perfect for those who love interior design and decorating.",The snapping and placement mechanics are frustrating and inaccurate.
,,Total,51,11,40,22%,The game has a lot of potential and is expected to improve with future updates.,The game has numerous bugs and crashes frequently.
,,english,41,9,32,22%,"There are some bugs and optimization issues, but they are manageable and expected in early access.","The game is not optimized well, leading to performance issues."
,,schinese,1,0,1,0%,The game offers a variety of customization options for furniture and room design.,There is a lack of customization options for furniture and room dimensions.
,,russian,5,2,3,40%,The story mode includes interesting puzzles and tasks that keep the gameplay fresh.,The controls and user interface are not intuitive or user-friendly.
,,koreana,0,0,0,100%,The sandbox mode allows for creative freedom and extensive customization.,The game feels incomplete and lacks content.
,,german,1,0,1,0%,The graphics and lighting are aesthetically pleasing and add to the overall experience.,The story mode and mini-games are not engaging or fun.
,,japanese,0,0,0,100%,The game is compared favorably to other interior design games like The Sims and House Flipper.,The game is not suitable for realistic room planning due to restrictive mechanics.
,,thai,0,0,0,100%,Players appreciate the ability to mod and the potential for future content through updates.,The graphics and visual design are not appealing to many players.
,,spanish,0,0,0,100%,"Some players have experienced issues with controls and UI, but overall find the game intuitive and fun.",The game has potential but needs significant updates and improvements.
,,brazilian,1,0,1,0%,,
,,latam,0,0,0,100%,,
,,polish,0,0,0,100%,,
,,french,0,0,0,100%,,
,,portuguese,1,0,1,0%,,
,,italian,0,0,0,100%,,
,,czech,0,0,0,100%,, 
,,finnish,0,0,0,100%,,
,,tchinese,0,0,0,100%,,
,,,,,,,,
,,,,,,,,english
Review ID,Language,Created,Up,Purchased,Score,Upvotes,Review text (Original),Review text (Specifed above)
